Temps(s),U(V),Itot(A),IL(A),IR(A)
-4.658000e-02,-282,-2.2,1.2,-3.6
-4.657000e-02,-276,-2.2,1.2,-3.4
-4.656000e-02,-276,-2.4,1,-3.2
-4.655000e-02,-282,-2.2,0.8,-3.6
-4.654000e-02,-282,-2.2,1,-3.6
-4.653000e-02,-282,-2.4,1,-3.4
-4.652000e-02,-282,-2.2,1,-3.4
-4.651000e-02,-288,-2.4,0.8,-3.4
-4.650000e-02,-282,-2.4,0.8,-3.4
-4.649000e-02,-294,-2.4,0.8,-3.6
-4.648000e-02,-282,-2.4,1,-3.6
-4.647000e-02,-282,-2.4,1,-3.6
-4.646000e-02,-288,-2.4,1,-3.6
-4.645000e-02,-294,-2.4,0.8,-3.6
-4.644000e-02,-282,-2.8,1,-3.4
-4.643000e-02,-288,-2.6,1,-3.6
-4.642000e-02,-288,-2.6,0.8,-3.4
-4.641000e-02,-288,-2.6,0.8,-3.6
-4.640000e-02,-294,-2.6,0.6,-3.6
-4.639000e-02,-294,-2.6,0.8,-3.6
-4.638000e-02,-294,-2.6,0.6,-3.6
-4.637000e-02,-288,-2.8,1,-3.6
-4.636000e-02,-294,-2.6,1,-3.6
-4.635000e-02,-294,-2.6,0.6,-3.6
-4.634000e-02,-300,-2.6,0.6,-3.6
-4.633000e-02,-294,-2.8,0.6,-3.8
-4.632000e-02,-300,-2.8,0.6,-3.6
-4.631000e-02,-294,-2.6,0.8,-3.6
-4.630000e-02,-288,-2.6,0.6,-3.8
-4.629000e-02,-288,-2.8,0.6,-3.8
-4.628000e-02,-306,-3,0.6,-3.6
-4.627000e-02,-294,-2.8,0.6,-3.8
-4.626000e-02,-300,-3,0.6,-3.8
-4.625000e-02,-294,-2.8,0.8,-3.8
-4.624000e-02,-294,-3,0.4,-3.6
-4.623000e-02,-300,-3,0.6,-3.6
-4.622000e-02,-300,-2.8,0.4,-3.6
-4.621000e-02,-300,-3,0.6,-3.6
-4.620000e-02,-294,-3,0.6,-3.6
-4.619000e-02,-294,-3,0.6,-3.8
-4.618000e-02,-300,-3,0.6,-3.8
-4.617000e-02,-300,-3.2,0.6,-3.6
-4.616000e-02,-294,-3.2,0.4,-3.6
-4.615000e-02,-294,-3,0.4,-3.8
-4.614000e-02,-306,-3.2,0.4,-3.6
-4.613000e-02,-294,-3.2,0.4,-3.8
-4.612000e-02,-300,-3,0.4,-3.8
-4.611000e-02,-300,-3.2,0.4,-3.8
-4.610000e-02,-306,-3.2,0.4,-3.6
-4.609000e-02,-300,-3.2,0.4,-3.6
-4.608000e-02,-300,-3.4,0.4,-3.8
-4.607000e-02,-306,-3.2,0.4,-3.6
-4.606000e-02,-306,-3.2,0.4,-3.8
-4.605000e-02,-312,-3.4,0.2,-3.8
-4.604000e-02,-300,-3.2,0.4,-3.8
-4.603000e-02,-312,-3.4,0.2,-3.8
-4.602000e-02,-306,-3.4,0.4,-3.8
-4.601000e-02,-306,-3.2,0.2,-3.8
-4.600000e-02,-306,-3.4,0.4,-3.8
-4.599000e-02,-306,-3.4,0.2,-3.8
-4.598000e-02,-306,-3.4,0,-3.8
-4.597000e-02,-306,-3.4,0.2,-3.8
-4.596000e-02,-312,-3.4,0.2,-3.8
-4.595000e-02,-312,-3.6,0.4,-3.8
